45.146.165.37 - - [22/Jan/2022:00:11:10 -0500] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 5633 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
109.237.103.123 - - [22/Jan/2022:01:16:41 -0500] "GET /.env HTTP/1.1" 404 493 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
109.237.103.123 - - [22/Jan/2022:01:16:42 -0500] "GET /.env HTTP/1.1" 404 5638 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "OPTIONS / HTTP/1.1" 200 162 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "PROPFIND / HTTP/1.1" 405 503 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "OPTIONS * HTTP/1.1" 200 107 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "OPTIONS / HTTP/1.1" 200 191 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "PROPFIND / HTTP/1.1" 405 533 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:45 -0500] "OPTIONS * HTTP/1.1" 200 136 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "GET /Rapid7/JBoss/version-check-VxhBWv.html HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "GET /console/login/LoginForm.jsp HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "GET /console/login/LoginForm.jsp HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "GET /Rapid7/JBoss/version-check-jJHG8T.html HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "POST /sdk HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "GET /dyndata.js HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "GET /en/welcomeRes.js HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:46 -0500] "POST /sdk HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /administrator/manifests/files/joomla.xml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /administrator/language/en-GB/en-GB.xml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /language/en-GB/en-GB.xml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /spiffymcgee.nsf HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /joomla/administrator/manifests/files/joomla.xml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /joomla/administrator/language/en-GB/en-GB.xml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /joomla/language/en-GB/en-GB.xml HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /servlet/ HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /xmldata?item=All HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /spiffymcgee.cfm HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /spiffymcgee.cfm HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "POST /.jsp HTTP/1.1" 400 465 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %. HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %server.policy HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %login-config.xml HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %org/jboss/version.properties HTTP/1.1" 400 498 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /spiffymcgee.nsf HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /spiffymcgee.jsp HTTP/1.1" 404 435 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jbossws/ HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /reviews HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /invoker/ HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jbossmq-httpil/ HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login.action HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /status/ HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /owa/auth/logon.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /console/App.html HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /php/login.php HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "POST /.jsp HTTP/1.1" 400 5026 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /CHANGELOG.txt HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /wordpress/readme.html HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /wordpress HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /wordpress/wp-login.php HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /index.php/login HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /index.php?title=Main_Page HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %. HTTP/1.1" 400 5055 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /mediawiki/index.php?title=Main_Page HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /index.php HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /version HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %server.policy HTTP/1.1" 400 5055 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /version/openshift HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /version HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /configurations.do HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /configurations.do HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %login-config.xml HTTP/1.1" 400 5055 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /web/guest/home HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /secure/Dashboard.jspa HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET %org/jboss/version.properties HTTP/1.1" 400 5055 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /secure/Dashboard.jspa HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /secure/Dashboard.jspa HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 5523 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /crowd/console/login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET / HTTP/1.1" 200 963 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /login.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /home.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /opencrx-core-CRX/Login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /xmldata?item=All HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /version HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /Orion/Login.aspx HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /cgi-bin/welcome HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /userportal/webpages/myaccount/login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /webconsole/webpages/login.jsp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /ui/login.action HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /spiffymcgee.jsp HTTP/1.1" 404 4996 "-" "-"
216.93.144.47 - - [22/Jan/2022:01:18:52 -0500] "GET /hpdm/ HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
