#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName"
"Running","Killer Network Service","Killer Network Service"
"Running","KNDBWM","Killer Dynamic Bandwidth Management"
"Running","LanmanServer","Server"
"Running","LanmanWorkstation","Workstation"
"Running","lfsvc","Geolocation Service"
"Running","LicenseManager","Windows License Manager Service"
"Running","lmhosts","TCP/IP NetBIOS Helper"
"Running","LSM","Local Session Manager"
"Running","McAfee WebAdvisor","McAfee WebAdvisor"
"Running","McAPExe","McAfee AP Service"
"Running","mccspsvc","McAfee CSP Service"
"Running","mfemms","McAfee Service Controller"
"Running","mfevtp","McAfee Validation Trust Protection Service"
"Running","ModuleCoreService","McAfee Module Core Service"
"Running","mpssvc","Windows Defender Firewall"
"Running","NahimicService","Nahimic service"
"Running","NcbService","Network Connection Broker"
"Running","Netman","Network Connections"
"Running","netprofm","Network List Service"
"Running","NlaSvc","Network Location Awareness"
"Running","NPSMSvc_1deaeb","NPSMSvc_1deaeb"
"Running","nsi","Network Store Interface Service"
"Running","nvagent","Network Virtualization Service"
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS"
"Running","OneSyncSvc_1deaeb","Sync Host_1deaeb"
"Running","OpenVPNServiceInteractive","OpenVPN Interactive Service"
"Running","PcaSvc","Program Compatibility Assistant Service"
"Running","PEFService","McAfee PEF Service"
"Running","PhoneSvc","Phone Service"
"Running","PimIndexMaintenanceSvc_1deaeb","Contact Data_1deaeb"
"Running","PlugPlay","Plug and Play"
"Running","PolicyAgent","IPsec Policy Agent"
"Running","Power","Power"
"Running","ProfSvc","User Profile Service"
"Running","RasMan","Remote Access Connection Manager"
"Running","RmSvc","Radio Management Service"
"Running","RpcEptMapper","RPC Endpoint Mapper"
"Running","RpcSs","Remote Procedure Call (RPC)"
"Running","RstMwService","Intel(R) Storage Middleware Service"
"Running","RtkAudioUniversalService","Realtek Audio Universal Service"
"Running","SamSs","Security Accounts Manager"
"Running","Schedule","Task Scheduler"
"Running","SecureLine","Avast SecureLine VPN"
"Running","SecurityHealthService","Windows Security Service"
"Running","SENS","System Event Notification Service"
"Running","SessionEnv","Remote Desktop Configuration"
"Running","SgrmBroker","System Guard Runtime Monitor Broker"
"Running","SharedAccess","Internet Connection Sharing (ICS)"
"Running","ShellHWDetection","Shell Hardware Detection"
"Running","spacedeskService","spacedeskService"
"Running","Spooler","Print Spooler"
"Running","SSDPSRV","SSDP Discovery"
"Running","SstpSvc","Secure Socket Tunneling Protocol Service"
"Running","StateRepository","State Repository Service"
"Running","StiSvc","Windows Image Acquisition (WIA)"
"Running","StorSvc","Storage Service"
"Running","SupportAssistAgent","Dell SupportAssist"
"Running","SysMain","SysMain"
"Running","SystemEventsBroker","System Events Broker"
"Running","TapiSrv","Telephony"
"Running","TbtHostControllerService","Thunderbolt(TM) Application Launcher"
"Running","TbtP2pShortcutService","Thunderbolt(TM) Peer to Peer Shortcut"
"Running","TermService","Remote Desktop Services"
"Running","TextInputManagementService","Text Input Management Service"
"Running","Themes","Themes"
"Running","TimeBrokerSvc","Time Broker"
"Running","TokenBroker","Web Account Manager"
"Running","TrkWks","Distributed Link Tracking Client"
"Running","UdkUserSvc_1deaeb","Udk User Service_1deaeb"
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector"
"Running","UnistoreSvc_1deaeb","User Data Storage_1deaeb"
"Running","UserDataSvc_1deaeb","User Data Access_1deaeb"
"Running","UserManager","User Manager"
"Running","UsoSvc","Update Orchestrator Service"
"Running","VaultSvc","Credential Manager"
"Running","VMAuthdService","VMware Authorization Service"
"Running","vmcompute","Hyper-V Host Compute Service"
"Running","VMnetDHCP","VMware DHCP Service"
"Running","VMUSBArbService","VMware USB Arbitration Service"
"Running","VMware NAT Service","VMware NAT Service"
"Running","VMwareHostd","VMware Workstation Server"
"Running","vmwsprrdpwks","VMware Serial Com Redirection Client service"
"Running","W32Time","Windows Time"
"Running","Wcmsvc","Windows Connection Manager"
"Running","wcncsvc","Windows Connect Now - Config Registrar"
"Running","webthreatdefsvc","Web Threat Defense Service"
"Running","webthreatdefusersvc_1deaeb","Web Threat Defense User Service_1deaeb"
"Running","WindscribeService","WindscribeService"
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service"
"Running","Winmgmt","Windows Management Instrumentation"
"Running","WlanSvc","WLAN AutoConfig"
"Running","WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration"
"Running","WpnService","Windows Push Notifications System Service"
"Running","WpnUserService_1deaeb","Windows Push Notifications User Service_1deaeb"
"Running","wscsvc","Security Center"
"Running","WSearch","Windows Search"
"Running","XblAuthManager","Xbox Live Auth Manager"
"Running","XTU3SERVICE","XTUOCDriverService"
"Running","ZeroTierOneService","ZeroTier One"
