#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName","Path"
"Running","FDResPub","Function Discovery Resource Publication",,
"Stopped","fhsvc","File History Service",,
"Running","FontCache","Windows Font Cache Service",,
"Running","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0",,
"Stopped","FrameServer","Windows Camera Frame Server",,
"Stopped","FrameServerMonitor","Windows Camera Frame Server Monitor",,
"Running","ftnlsv3hv","VMware Netlink Supervisor Service",,
"Running","ftscanmgrhv","VMware Scanner Redirection Client",,
"Stopped","gcs","Hyper-V Guest Compute Service",,
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)",,
"Running","gpsvc","Group Policy Client",,
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc",,
"Stopped","gupdate","Google Update Service (gupdate)",,
"Stopped","gupdatem","Google Update Service (gupdatem)",,
"Stopped","HfcDisableService","Intel(R) RST HFC Disable Service",,
"Running","hidserv","Human Interface Device Service",,
"Running","HNS","Host Network Service",,
"Running","HvHost","HV Host Service",,
"Stopped","iaStorAfsService","Intel(R) Optane(TM) Memory Service",,
"Stopped","icssvc","Windows Mobile Hotspot Service",,
"Running","igccservice","Intel(R) Graphics Command Center Service",,
"Running","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service",,
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules",,
"Running","InstallService","Microsoft Store Install Service",,
"Stopped","Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface",,
"Stopped","Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service",,
"Running","IntelAudioService","Intel(R) Audio Service",,
"Stopped","InventorySvc","Inventory and Compatibility Appraisal service",,
"Running","iphlpsvc","IP Helper",,
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service",,
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service",,
"Running","KAPSService","Killer Smart AP Selection Service",,
"Running","KeyIso","CNG Key Isolation",,
"Running","Killer Analytics Service","Killer Analytics Service",,
"Running","Killer Network Service","Killer Network Service",,
"Running","KNDBWM","Killer Dynamic Bandwidth Management",,
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator",,
"Running","LanmanServer","Server",,
"Running","LanmanWorkstation","Workstation",,
"Running","lfsvc","Geolocation Service",,
"Running","LicenseManager","Windows License Manager Service",,
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper",,
"Running","lmhosts","TCP/IP NetBIOS Helper",,
"Running","LSM","Local Session Manager",,
"Stopped","LxpSvc","Language Experience Service",,
"Stopped","MapsBroker","Downloaded Maps Manager",,
"Running","McAfee WebAdvisor","McAfee WebAdvisor",,
"Running","McAPExe","McAfee AP Service",,
"Stopped","McAWFwk","McAfee Activation Service",,
"Running","mccspsvc","McAfee CSP Service",,
"Stopped","McpManagementService","McpManagementService",,
"Stopped","MessagingService_1deaeb","MessagingService_1deaeb",,
"Stopped","mfefire","McAfee Firewall Core Service",,
"Running","mfemms","McAfee Service Controller",,
"Running","mfevtp","McAfee Validation Trust Protection Service",,
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)",,
"Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service",,
"Running","ModuleCoreService","McAfee Module Core Service",,
"Running","mpssvc","Windows Defender Firewall",,
"Stopped","MSDTC","Distributed Transaction Coordinator",,
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service",,
"Stopped","msiserver","Windows Installer",,
"Stopped","MsKeyboardFilter","Microsoft Keyboard Filter",,
"Running","NahimicService","Nahimic service",,
"Stopped","NaturalAuthentication","Natural Authentication",,
"Stopped","NcaSvc","Network Connectivity Assistant",,
"Running","NcbService","Network Connection Broker",,
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup",,
"Stopped","Netlogon","Netlogon",,
"Running","Netman","Network Connections",,
"Running","netprofm","Network List Service",,
"Stopped","NetSetupSvc","Network Setup Service",,
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service",,
"Stopped","NgcCtnrSvc","Microsoft Passport Container",,
"Stopped","NgcSvc","Microsoft Passport",,
"Running","NlaSvc","Network Location Awareness",,
"Running","NPSMSvc_1deaeb","NPSMSvc_1deaeb",,
"Running","nsi","Network Store Interface Service",,
"Running","nvagent","Network Virtualization Service",,
"Stopped","NvContainerLocalSystem","NVIDIA LocalSystem Container",,
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS",,
"Running","OneSyncSvc_1deaeb","Sync Host_1deaeb",,
"Running","OpenVPNServiceInteractive","OpenVPN Interactive Service",,
"Stopped","ose64","Office 64 Source Engine",,
"Stopped","p2pimsvc","Peer Networking Identity Manager",,
"Stopped","p2psvc","Peer Networking Grouping",,
"Stopped","P9RdrService_1deaeb","P9RdrService_1deaeb",,
"Running","PcaSvc","Program Compatibility Assistant Service",,
"Stopped","PeerDistSvc","BranchCache",,
"Running","PEFService","McAfee PEF Service",,
"Stopped","PenService_1deaeb","PenService_1deaeb",,
"Stopped","perceptionsimulation","Windows Perception Simulation Service",,
"Stopped","PerfHost","Performance Counter DLL Host",,
"Running","PhoneSvc","Phone Service",,
"Running","PimIndexMaintenanceSvc_1deaeb","Contact Data_1deaeb",,
"Stopped","pla","Performance Logs & Alerts",,
"Running","PlugPlay","Plug and Play",,
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service",,
"Stopped","PNRPsvc","Peer Name Resolution Protocol",,
"Running","PolicyAgent","IPsec Policy Agent",,
"Running","Power","Power",,
"Stopped","PrintNotify","Printer Extensions and Notifications",,
"Stopped","PrintWorkflowUserSvc_1deaeb","PrintWorkflow_1deaeb",,
"Running","ProfSvc","User Profile Service",,
"Stopped","PushToInstall","Windows PushToInstall Service",,
"Stopped","QWAVE","Quality Windows Audio Video Experience",,
"Stopped","RasAuto","Remote Access Auto Connection Manager",,
"Running","RasMan","Remote Access Connection Manager",,
"Stopped","RemoteAccess","Routing and Remote Access",,
"Stopped","RemoteRegistry","Remote Registry",,
"Stopped","RetailDemo","Retail Demo Service",,
"Running","RmSvc","Radio Management Service",,
"Running","RpcEptMapper","RPC Endpoint Mapper",,
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator",,
"Running","RpcSs","Remote Procedure Call (RPC)",,
"Running","RstMwService","Intel(R) Storage Middleware Service",,
"Running","RtkAudioUniversalService","Realtek Audio Universal Service",,
"Running","SamSs","Security Accounts Manager",,
"Stopped","SCardSvr","Smart Card",,
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service",,
"Running","Schedule","Task Scheduler",,
"Stopped","SCPolicySvc","Smart Card Removal Policy",,
"Stopped","SDRSVC","Windows Backup",,
"Stopped","seclogon","Secondary Logon",,
"Running","SecureLine","Avast SecureLine VPN",,
"Running","SecurityHealthService","Windows Security Service",,
"Stopped","SEMgrSvc","Payments and NFC/SE Manager",,
"Running","SENS","System Event Notification Service",,
"Stopped","Sense","Windows Defender Advanced Threat Protection Service",,
"Stopped","SensorDataService","Sensor Data Service",,
"Stopped","SensorService","Sensor Service",,
"Stopped","SensrSvc","Sensor Monitoring Service",,
"Running","SessionEnv","Remote Desktop Configuration",,
"Running","SgrmBroker","System Guard Runtime Monitor Broker",,
"Running","SharedAccess","Internet Connection Sharing (ICS)",,
"Stopped","SharedRealitySvc","Spatial Data Service",,
"Running","ShellHWDetection","Shell Hardware Detection",,
"Stopped","shpamsvc","Shared PC Account Manager",,
"Stopped","smphost","Microsoft Storage Spaces SMP",,
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.",,
"Stopped","SNMPTrap","SNMP Trap",,
"Running","spacedeskService","spacedeskService",,
"Stopped","spectrum","Windows Perception Service",,
"Running","Spooler","Print Spooler",,
"Stopped","sppsvc","Software Protection",,
"Running","SSDPSRV","SSDP Discovery",,
"Stopped","ssh-agent","OpenSSH Authentication Agent",,
"Running","SstpSvc","Secure Socket Tunneling Protocol Service",,
"Running","StateRepository","State Repository Service",,
"Running","StiSvc","Windows Image Acquisition (WIA)",,
"Running","StorSvc","Storage Service",,
"Running","SupportAssistAgent","Dell SupportAssist",,
"Stopped","svsvc","Spot Verifier",,
"Stopped","swprv","Microsoft Software Shadow Copy Provider",,
"Running","SysMain","SysMain",,
"Running","SystemEventsBroker","System Events Broker",,
"Running","TapiSrv","Telephony",,
"Running","TbtHostControllerService","Thunderbolt(TM) Application Launcher",,
"Running","TbtP2pShortcutService","Thunderbolt(TM) Peer to Peer Shortcut",,
"Running","TermService","Remote Desktop Services",,
"Running","TextInputManagementService","Text Input Management Service",,
"Running","Themes","Themes",,
"Stopped","TieringEngineService","Storage Tiers Management",,
"Running","TimeBrokerSvc","Time Broker",,
"Running","TokenBroker","Web Account Manager",,
"Running","TrkWks","Distributed Link Tracking Client",,
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service",,
"Stopped","TrustedInstaller","Windows Modules Installer",,
"Stopped","tzautoupdate","Auto Time Zone Updater",,
"Running","UdkUserSvc_1deaeb","Udk User Service_1deaeb",,
"Stopped","UevAgentService","User Experience Virtualization Service",,
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector",,
"Running","UnistoreSvc_1deaeb","User Data Storage_1deaeb",,
"Stopped","upnphost","UPnP Device Host",,
"Running","UserDataSvc_1deaeb","User Data Access_1deaeb",,
"Running","UserManager","User Manager",,
"Running","UsoSvc","Update Orchestrator Service",,
"Stopped","VacSvc","Volumetric Audio Compositor Service",,
"Running","VaultSvc","Credential Manager",,
"Stopped","vds","Virtual Disk",,
"Running","VMAuthdService","VMware Authorization Service",,
"Running","vmcompute","Hyper-V Host Compute Service",,
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface",,
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service",,
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service",,
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service",,
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service",,
"Stopped","vmictimesync","Hyper-V Time Synchronization Service",,
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service",,
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor",,
"Running","VMnetDHCP","VMware DHCP Service",,
"Running","VMUSBArbService","VMware USB Arbitration Service",,
"Running","VMware NAT Service","VMware NAT Service",,
"Running","VMwareHostd","VMware Workstation Server",,
"Running","vmwsprrdpwks","VMware Serial Com Redirection Client service",,
"Stopped","VSS","Volume Shadow Copy",,
"Stopped","VSStandardCollectorService150","Visual Studio Standard Collector Service 150",,
"Running","W32Time","Windows Time",,
"Stopped","WaaSMedicSvc","WaaSMedicSvc",,
"Stopped","WalletService","WalletService",,
"Stopped","WarpJITSvc","Warp JIT Service",,
"Stopped","wbengine","Block Level Backup Engine Service",,
"Stopped","WbioSrvc","Windows Biometric Service",,
"Running","Wcmsvc","Windows Connection Manager",,
"Running","wcncsvc","Windows Connect Now - Config Registrar",,
"Stopped","WdiServiceHost","Diagnostic Service Host",,
"Running","WdiSystemHost","Diagnostic System Host",,
"Stopped","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service",,
"Stopped","WebClient","WebClient",,
"Running","webthreatdefsvc","Web Threat Defense Service",,
"Running","webthreatdefusersvc_1deaeb","Web Threat Defense User Service_1deaeb",,
"Stopped","Wecsvc","Windows Event Collector",,
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service",,
"Stopped","wercplsupport","Problem Reports Control Panel Support",,
"Stopped","WerSvc","Windows Error Reporting Service",,
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service",,
"Stopped","WiaRpc","Still Image Acquisition Events",,
"Stopped","WinDefend","Microsoft Defender Antivirus Service",,
"Running","WindscribeService","WindscribeService",,
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service",,
"Running","Winmgmt","Windows Management Instrumentation",,
"Stopped","WinRM","Windows Remote Management (WS-Management)",,
"Stopped","wisvc","Windows Insider Service",,
"Running","WlanSvc","WLAN AutoConfig",,
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant",,
"Stopped","wlpasvc","Local Profile Assistant Service",,
"Stopped","WManSvc","Windows Management Service",,
"Running","wmiApSrv","WMI Performance Adapter",,
"Running","WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration",,
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service",,
"Stopped","workfolderssvc","Work Folders",,
"Stopped","WpcMonSvc","Parental Controls",,
"Stopped","WPDBusEnum","Portable Device Enumerator Service",,
"Running","WpnService","Windows Push Notifications System Service",,
"Running","WpnUserService_1deaeb","Windows Push Notifications User Service_1deaeb",,
"Running","wscsvc","Security Center",,
"Running","WSearch","Windows Search",,
"Stopped","wuauserv","Windows Update",,
"Stopped","WwanSvc","WWAN AutoConfig",,
"Running","XblAuthManager","Xbox Live Auth Manager",,
"Stopped","XblGameSave","Xbox Live Game Save",,
"Stopped","XboxGipSvc","Xbox Accessory Management Service",,
"Stopped","XboxNetApiSvc","Xbox Live Networking Service",,
"Running","XTU3SERVICE","XTUOCDriverService",,
"Running","ZeroTierOneService","ZeroTier One",,
